run,id,rel
1,1,33369 48556 29053 129070 140088 13215 141468 3982 62980 20480 153590 60041 88990 159751 100594 103606 16899 98036 106962 9398 128871 58278 13414 156001 160173 18505 116235 54504 96866 131990 91677 38313 44672 19240 161607 130024 21681 159686 62527 134125 40702 67791 19680 103502 93279 149855 66372 119563 739 153036 94989 23432 152192 96984 21954 143686 126548 91105 17817 124410 29448 74527 20043 74340 104250 78991 143782 144472 51425 157836 65052 26317 107830 133612 7573 9527 121253 88067 132641 74950 107750 104396 60563 97860 22753 59857 117940 25753 140776 89252 23183 51273 125576 36639 134963 6193 145580 44735 64664 125547 
run,id,rel
1,2,98012 32857 58123 34695 111081 109609 156622 85652 93066 101345 46837 7190 150862 53249 79502 968 82995 34494 29721 153050 4208 4285 154254 41988 15300 147449 52308 66992 54714 26619 65860 109204 7827 71687 158105 134335 5474 162822 37263 111892 94204 66136 7889 91666 153866 17457 23839 141044 117993 147327 11573 91848 77931 72973 12192 37714 83186 9313 150063 118155 11038 34298 44728 19234 19268 112555 63018 100991 12796 31026 79343 20399 24322 32034 75859 77381 26560 124606 110882 69682 85080 70284 156382 11769 23752 158694 43357 64789 128835 67069 68089 158770 75402 12340 94872 104633 12270 46943 52010 51945 
run,id,rel
1,3,55815 78803 98066 132095 149778 77546 109111 14160 16312 137921 55991 31763 33237 17121 153135 140548 50355 84927 19635 122781 130797 48913 67534 43618 37421 20331 41979 136150 116945 17102 118806 43363 156374 158538 6942 22379 114926 38991 144508 67699 47898 117700 9501 121482 49685 136132 156650 77772 82280 41436 156012 47411 99281 112988 31115 42804 17852 136127 27183 62433 50193 129269 70950 150753 60822 39936 84253 107693 138845 126972 28854 48669 15448 58948 86412 146174 51102 38109 154029 135335 161169 138039 148929 38271 45230 39750 50579 106946 70109 70262 5424 57553 10859 49779 161331 55620 31018 29853 127385 118133 
run,id,rel
1,4,44192 56917 152081 94359 143874 13609 117913 47779 41785 68050 104874 86517 84689 61735 41354 1695 153871 105707 78403 27015 66757 146463 131099 114770 66131 106673 49059 33364 147029 78481 8818 87711 156147 9136 44087 161016 82566 131634 83412 115682 32486 126223 149423 50562 10787 133075 110542 134569 72286 10161 59983 162206 5793 56870 72205 74792 36862 23804 123399 80747 31434 66209 92525 35777 116462 133296 157664 76295 81917 127306 77059 91866 141645 140095 157429 76147 122722 131551 1529 65007 4647 566 142788 52213 57754 76394 46752 99426 122683 18063 131933 70958 144111 134156 156185 97166 94647 91899 129226 35799 
run,id,rel
1,5,131751 25808 62981 25159 55078 43980 63250 9277 94152 128218 106698 95712 148221 109076 151206 40783 105597 60741 102664 105911 76915 95434 33134 32357 133847 36577 133246 125490 11596 31664 39511 146986 117996 93803 135519 160154 99678 12405 55870 91967 138092 155795 111975 153687 89513 126509 49142 137375 85040 136847 155491 53884 138581 92792 17768 41112 60373 131250 17031 36232 53337 53706 114359 134967 128953 39955 86191 76890 61782 13670 125903 30967 10396 121712 141506 107230 126597 103104 158066 92938 100102 140152 4774 666 103858 85880 154550 21720 38455 69047 160980 23797 155739 36170 28182 104409 103315 157423 957 114865 
run,id,rel
1,6,6791 104318 92021 48601 55424 25743 118051 90499 56167 50190 139159 39814 57094 4639 49840 73531 158251 121830 112507 137998 123794 134965 32581 121140 44990 124880 149226 74372 24542 146053 145913 49369 127697 49578 14327 78119 142035 108586 161997 4622 28 14193 69148 141337 57114 120520 81097 99207 141947 140229 142245 101160 71840 140618 39038 99779 153277 88940 23986 38682 150045 113883 143933 127031 64335 160307 149740 51310 13128 43744 140624 18156 106008 38429 145308 58255 19804 142166 34957 23356 133511 152954 101139 32122 37431 105970 39541 104733 15016 91243 145694 71922 156551 15640 87135 156308 103019 145442 98807 152193 
run,id,rel
1,7,59456 5327 9118 136628 142009 60359 87882 121193 60160 85641 100685 57552 110854 123583 134047 22467 6810 119107 22473 132159 65628 93903 128922 49188 145673 88326 10495 146145 54083 102087 28044 77047 70141 132028 11631 72187 56806 36499 8870 41602 43828 138359 77780 97188 74612 108456 53872 16795 101378 7048 50997 18937 19061 55466 77961 17911 77998 1652 93168 77261 49515 64196 45137 121584 161222 58825 6698 118205 92027 134561 122066 14047 41574 117514 70089 121656 22219 105578 24880 70203 63782 104219 150344 61146 148140 105763 141380 27384 31082 100359 120799 63603 103952 81864 33592 153421 72023 3859 27395 31207 
run,id,rel
1,8,70912 7049 140661 123566 76930 18225 96531 141180 16840 142878 16333 104985 20865 88479 26817 75437 11626 79242 86526 122253 151013 111062 75583 58284 58063 144806 70717 120795 71899 38204 90111 137745 131927 128232 36985 27545 152101 3327 85089 74520 23019 64410 138765 20572 101146 66453 3174 91024 27748 61116 132272 71996 109701 38911 95110 41882 5626 151657 91308 69088 20784 23255 42949 59277 137587 148479 119586 53356 40066 42779 92583 129417 90293 102025 14712 68435 138354 47653 28011 147457 90330 85061 47284 60321 154875 62036 131419 83273 22969 135750 69523 106493 51036 103709 104583 90515 59964 34286 62918 47929 
run,id,rel
1,9,123747 54786 129017 16565 37809 91205 47094 158836 19021 88529 87687 10144 126122 102116 75999 101798 73955 44476 64191 53179 158827 53029 135199 136396 111842 93061 107676 116981 20418 64617 126629 92878 120269 153348 101966 996 153726 121865 5058 65006 151051 29398 71509 157872 79137 157797 82045 120464 140527 106477 116754 62425 47723 14892 126105 116909 153844 149932 64848 76303 120184 66816 98955 110652 5706 148857 5003 138129 110003 157349 60537 7683 20549 48603 103077 473 143582 91372 30627 114198 153450 91226 77823 78547 63167 155866 94703 50056 137999 110585 25169 58271 109028 154473 36729 67427 42818 141113 19517 158716 
run,id,rel
1,10,39770 10626 145684 111680 159544 16443 88161 48940 45164 83487 45794 60509 110603 89692 90348 129971 84166 49793 17637 146126 51495 125012 132300 13228 129824 71872 57647 18461 119731 9699 142557 161560 98022 64467 158428 116791 20406 68677 417 48298 115564 47212 66868 22947 95886 149048 135630 26576 12875 92888 44660 119709 3497 73723 20508 105887 82727 105002 104686 23688 105494 105166 38431 19305 132528 100373 67172 20360 63059 23318 77588 35210 21292 29382 46536 55880 13101 126077 46649 146012 65123 91259 10809 22476 23531 152328 86305 27422 90608 107686 10176 76175 19289 9758 101248 108354 148557 68929 96016 67883 
run,id,rel
1,11,14280 112848 88397 146663 18721 10239 146042 134436 21168 48462 46325 96363 82545 100238 121966 25631 755 52943 138751 40936 56 70962 43517 35852 39996 43379 47477 74952 142733 17715 18104 66901 77154 129 95036 96507 103421 79546 55114 95383 7783 39154 161203 75501 79040 14447 130308 104054 58116 62309 71873 76904 156753 74910 83815 141466 20188 77393 126070 51819 154412 55722 62099 30226 62379 79271 140898 96862 102429 38077 21656 107571 65749 23999 116864 70214 41776 108526 63518 64656 83365 107521 115980 14325 156298 9270 129339 95114 104728 112514 41832 144549 41368 102700 41501 65608 69183 147805 14680 142901 
run,id,rel
1,12,34238 51200 161688 148820 56889 131046 26575 16351 141530 71454 18303 78377 159106 78365 10497 6199 52900 29105 143931 158972 91368 90960 70862 37929 8989 101803 67367 23433 98481 19714 43227 32552 9811 79260 55977 115134 67775 41348 155677 61377 79902 151402 49228 161105 67406 106139 154490 101062 159399 38176 98909 126865 88331 15673 126781 87635 162125 55104 9386 97382 25909 15445 28310 58180 130591 102750 3900 47852 126745 114598 137093 40654 45261 82731 148676 83446 125222 112027 13290 131600 135509 121689 124342 61946 60000 106320 43729 69126 73661 75353 48039 68852 78788 7514 104566 43617 98148 71304 40834 136805 
run,id,rel
